x [Å]	y [Å]	z [Å]	F [nN]	
79.224	0	5.004	-2.36941e+12
79.256	0	5.004	-2.36941e+12
79.288	0	5.004	-2.36941e+12
79.32	0	5.004	-2.36941e+12
79.352	0	5.004	-2.36941e+12
79.384	0	5.004	-2.36941e+12
79.416	0	5.004	-2.3694e+12
79.448	0	5.004	-2.3694e+12
79.48	0	5.004	-2.36939e+12
79.512	0	5.004	-2.36938e+12
79.544	0	5.004	-2.36937e+12
79.576	0	5.004	-2.36935e+12
79.608	0	5.004	-2.36932e+12
79.64	0	5.004	-2.36928e+12
79.672	0	5.004	-2.36921e+12
79.704	0	5.004	-2.36911e+12
79.736	0	5.004	-2.36896e+12
79.768	0	5.004	-2.36871e+12
79.8	0	5.004	-2.36833e+12
79.832	0	5.004	-2.36772e+12
79.864	0	5.004	-2.36672e+12
79.896	0	5.004	-2.36509e+12
79.928	0	5.004	-2.36239e+12
79.96	0	5.004	-2.35786e+12
79.992	0	5.004	-2.3502e+12
80.024	0	5.004	-2.33709e+12
80.056	0	5.004	-2.31451e+12
80.088	0	5.004	-2.27533e+12
80.12	0	5.004	-2.2071e+12
80.152	0	5.004	-2.08814e+12
80.184	0	5.004	-1.88141e+12
80.216	0	5.004	-1.52522e+12
80.248	0	5.004	-9.21039e+11
80.28	0	5.004	7.90995e+10
80.312	0	5.004	1.67701e+12
80.344	0	5.004	4.10743e+12
80.376	0	5.004	7.56722e+12
80.408	0	5.004	1.20786e+13
80.44	0	5.004	1.73147e+13
80.472	0	5.004	2.2492e+13
80.504	0	5.004	2.64831e+13
80.536	0	5.004	2.82121e+13
80.568	0	5.004	2.7162e+13
80.6	0	5.004	2.36504e+13
80.632	0	5.004	1.86578e+13
80.664	0	5.004	1.33452e+13
80.696	0	5.004	8.60437e+12
80.728	0	5.004	4.87249e+12
80.76	0	5.004	2.19864e+12
80.792	0	5.004	4.14391e+11
80.824	0	5.004	-7.14638e+11
80.856	0	5.004	-1.40199e+12
80.888	0	5.004	-1.80932e+12
80.92	0	5.004	-2.0465e+12
80.952	0	5.004	-2.18319e+12
80.984	0	5.004	-2.26162e+12
81.016	0	5.004	-2.30661e+12
81.048	0	5.004	-2.33252e+12
81.08	0	5.004	-2.34752e+12
81.112	0	5.004	-2.35627e+12
81.144	0	5.004	-2.36142e+12
81.176	0	5.004	-2.36447e+12
81.208	0	5.004	-2.3663e+12
81.24	0	5.004	-2.3674e+12
81.272	0	5.004	-2.36807e+12
81.304	0	5.004	-2.36846e+12
81.336	0	5.004	-2.3687e+12
81.368	0	5.004	-2.36883e+12
81.4	0	5.004	-2.3689e+12
81.432	0	5.004	-2.36892e+12
81.464	0	5.004	-2.36892e+12
81.496	0	5.004	-2.3689e+12
81.528	0	5.004	-2.36886e+12
81.56	0	5.004	-2.36883e+12
81.592	0	5.004	-2.3688e+12
81.624	0	5.004	-2.36877e+12
81.656	0	5.004	-2.36875e+12
81.688	0	5.004	-2.36873e+12
81.72	0	5.004	-2.36873e+12
81.752	0	5.004	-2.36874e+12
81.784	0	5.004	-2.36876e+12
81.816	0	5.004	-2.36879e+12
81.848	0	5.004	-2.36883e+12
81.88	0	5.004	-2.36887e+12
81.912	0	5.004	-2.36892e+12
81.944	0	5.004	-2.36897e+12
81.976	0	5.004	-2.36902e+12
82.008	0	5.004	-2.36907e+12
82.04	0	5.004	-2.36911e+12
82.072	0	5.004	-2.36915e+12
82.104	0	5.004	-2.36918e+12
82.136	0	5.004	-2.36921e+12
82.168	0	5.004	-2.36923e+12
82.2	0	5.004	-2.36925e+12
82.232	0	5.004	-2.36926e+12
82.264	0	5.004	-2.36927e+12
82.296	0	5.004	-2.36928e+12
82.328	0	5.004	-2.36928e+12
82.36	0	5.004	-2.36928e+12
82.392	0	5.004	-2.36928e+12
82.424	0	5.004	-2.36927e+12
82.456	0	5.004	-2.36927e+12
82.488	0	5.004	-2.36927e+12
82.52	0	5.004	-2.36927e+12
82.552	0	5.004	-2.36927e+12
82.584	0	5.004	-2.36927e+12
82.616	0	5.004	-2.36927e+12
82.648	0	5.004	-2.36927e+12
82.68	0	5.004	-2.36928e+12
82.712	0	5.004	-2.36929e+12
82.744	0	5.004	-2.36929e+12
82.776	0	5.004	-2.3693e+12
82.808	0	5.004	-2.36931e+12
82.84	0	5.004	-2.36932e+12
82.872	0	5.004	-2.36933e+12
82.904	0	5.004	-2.36934e+12
82.936	0	5.004	-2.36935e+12
82.968	0	5.004	-2.36936e+12
83	0	5.004	-2.36937e+12
83.032	0	5.004	-2.36937e+12
83.064	0	5.004	-2.36938e+12
83.096	0	5.004	-2.36938e+12
83.128	0	5.004	-2.36939e+12
83.16	0	5.004	-2.36939e+12
83.192	0	5.004	-2.36939e+12
83.224	0	5.004	-2.36939e+12
83.256	0	5.004	-2.3694e+12
83.288	0	5.004	-2.3694e+12
83.32	0	5.004	-2.36939e+12
83.352	0	5.004	-2.36939e+12
83.384	0	5.004	-2.36939e+12
83.416	0	5.004	-2.36939e+12
83.448	0	5.004	-2.36939e+12
83.48	0	5.004	-2.36938e+12
83.512	0	5.004	-2.36938e+12
83.544	0	5.004	-2.36937e+12
83.576	0	5.004	-2.36936e+12
83.608	0	5.004	-2.36936e+12
83.64	0	5.004	-2.36935e+12
83.672	0	5.004	-2.36934e+12
83.704	0	5.004	-2.36933e+12
83.736	0	5.004	-2.36932e+12
83.768	0	5.004	-2.36932e+12
83.8	0	5.004	-2.36931e+12
83.832	0	5.004	-2.3693e+12
83.864	0	5.004	-2.3693e+12
83.896	0	5.004	-2.36929e+12
83.928	0	5.004	-2.36929e+12
83.96	0	5.004	-2.36929e+12
83.992	0	5.004	-2.36929e+12
84.024	0	5.004	-2.36929e+12
84.056	0	5.004	-2.3693e+12
84.088	0	5.004	-2.3693e+12
84.12	0	5.004	-2.36931e+12
84.152	0	5.004	-2.36932e+12
84.184	0	5.004	-2.36932e+12
84.216	0	5.004	-2.36933e+12
84.248	0	5.004	-2.36934e+12
84.28	0	5.004	-2.36935e+12
84.312	0	5.004	-2.36936e+12
84.344	0	5.004	-2.36936e+12
84.376	0	5.004	-2.36937e+12
84.408	0	5.004	-2.36938e+12
84.44	0	5.004	-2.36938e+12
84.472	0	5.004	-2.36939e+12
84.504	0	5.004	-2.36939e+12
84.536	0	5.004	-2.3694e+12
84.568	0	5.004	-2.3694e+12
84.6	0	5.004	-2.3694e+12
84.632	0	5.004	-2.3694e+12
84.664	0	5.004	-2.36941e+12
84.696	0	5.004	-2.36941e+12
84.728	0	5.004	-2.36941e+12
84.76	0	5.004	-2.36941e+12
84.792	0	5.004	-2.36941e+12
84.824	0	5.004	-2.36941e+12
84.856	0	5.004	-2.36941e+12
84.888	0	5.004	-2.36941e+12
84.92	0	5.004	-2.36941e+12
84.952	0	5.004	-2.36941e+12
84.984	0	5.004	-2.36941e+12
85.016	0	5.004	-2.36941e+12
85.048	0	5.004	-2.36941e+12
85.08	0	5.004	-2.36941e+12
85.112	0	5.004	-2.36941e+12
85.144	0	5.004	-2.36941e+12
85.176	0	5.004	-2.36941e+12
85.208	0	5.004	-2.36941e+12
85.24	0	5.004	-2.36941e+12
85.272	0	5.004	-2.36941e+12
85.304	0	5.004	-2.3694e+12
85.336	0	5.004	-2.3694e+12
85.368	0	5.004	-2.3694e+12
85.4	0	5.004	-2.36939e+12
85.432	0	5.004	-2.36938e+12
85.464	0	5.004	-2.36938e+12
85.496	0	5.004	-2.36937e+12
85.528	0	5.004	-2.36935e+12
85.56	0	5.004	-2.36933e+12
85.592	0	5.004	-2.36931e+12
85.624	0	5.004	-2.36928e+12
85.656	0	5.004	-2.36925e+12
85.688	0	5.004	-2.36921e+12
85.72	0	5.004	-2.36916e+12
85.752	0	5.004	-2.3691e+12
85.784	0	5.004	-2.36902e+12
85.816	0	5.004	-2.36893e+12
85.848	0	5.004	-2.36882e+12
85.88	0	5.004	-2.36869e+12
85.912	0	5.004	-2.36854e+12
85.944	0	5.004	-2.36834e+12
85.976	0	5.004	-2.36811e+12
86.008	0	5.004	-2.3678e+12
86.04	0	5.004	-2.36739e+12
86.072	0	5.004	-2.36684e+12
86.104	0	5.004	-2.36607e+12
86.136	0	5.004	-2.36497e+12
86.168	0	5.004	-2.3634e+12
86.2	0	5.004	-2.36113e+12
86.232	0	5.004	-2.35786e+12
86.264	0	5.004	-2.3532e+12
86.296	0	5.004	-2.34661e+12
86.328	0	5.004	-2.33749e+12
86.36	0	5.004	-2.32515e+12
86.392	0	5.004	-2.30891e+12
86.424	0	5.004	-2.28827e+12
86.456	0	5.004	-2.26313e+12
86.488	0	5.004	-2.23405e+12
86.52	0	5.004	-2.20245e+12
86.552	0	5.004	-2.17072e+12
86.584	0	5.004	-2.14203e+12
86.616	0	5.004	-2.11983e+12
86.648	0	5.004	-2.10717e+12
86.68	0	5.004	-2.10592e+12
86.712	0	5.004	-2.11627e+12
86.744	0	5.004	-2.13668e+12
86.776	0	5.004	-2.16432e+12
86.808	0	5.004	-2.19575e+12
86.84	0	5.004	-2.22768e+12
86.872	0	5.004	-2.25754e+12
86.904	0	5.004	-2.28369e+12
86.936	0	5.004	-2.3054e+12
86.968	0	5.004	-2.32265e+12
87	0	5.004	-2.33588e+12

79	0	5.008	-2.21629e+12
79.032	0	5.008	-2.21629e+12
79.064	0	5.008	-2.21628e+12
79.096	0	5.008	-2.21628e+12
79.128	0	5.008	-2.21628e+12
79.16	0	5.008	-2.21628e+12
79.192	0	5.008	-2.21628e+12
79.224	0	5.008	-2.21628e+12
79.256	0	5.008	-2.21628e+12
79.288	0	5.008	-2.21628e+12
79.32	0	5.008	-2.21628e+12
79.352	0	5.008	-2.21628e+12
79.384	0	5.008	-2.21628e+12
79.416	0	5.008	-2.21627e+12
79.448	0	5.008	-2.21627e+12
79.48	0	5.008	-2.21626e+12
79.512	0	5.008	-2.21625e+12
79.544	0	5.008	-2.21624e+12
79.576	0	5.008	-2.21622e+12
79.608	0	5.008	-2.21619e+12
79.64	0	5.008	-2.21615e+12
79.672	0	5.008	-2.21608e+12
79.704	0	5.008	-2.21599e+12
